feature,importance
ax_peak_prominence_max,0.03730929355335584
ax_peak_prominence_mean,0.028841592768250223
hard_braking_intensity,0.02763251997603602
az_min,0.023450889154712832
az_median,0.02222137555568352
rz_max,0.019726798676223897
ay_mean,0.0195991831754239
acc_mag_min,0.019328796880284528
gyro_mag_max,0.018579581132616783
risk_score,0.018332812538696407
az_mean,0.017918580325238527
az_max,0.01738490899027179
gyro_mag_mean,0.016719867354323348
lateral_instability_intensity,0.01654502304107664
ay_median,0.01641912463221646
ay_rms,0.016221575498169646
ay_max,0.016208311467930003
acc_mag_rms,0.01608490469597973
roll_anomaly_intensity,0.015871257006163333
ay_peak_prominence_mean,0.015795950776332866
gyro_mag_rms,0.015521180377046504
az_rms,0.015446015830717199
rz_min,0.014863854284490587
acc_mag_peak_prominence_max,0.014821370373203484
acc_mag_median,0.014149732603539297
rz_median,0.013897666751200917
ay_min,0.013850064326360207
yaw_spike_intensity,0.013599835881810034
ay_peak_prominence_max,0.013443503358997373
gyro_mag_median,0.013313984710126112
acc_mag_spectral_energy,0.013105318512557022
acc_mag_mean,0.012924434265729205
ry_max,0.012870492869075819
rz_mean,0.012484447408379666
gyro_mag_min,0.01245747076814156
ax_iqr,0.011454308460015501
sma,0.010800598815972395
ax_median,0.010389030595972579
jerk_ax_mean,0.010351829084826953
ax_num_peaks,0.010189848600384433
ax_std,0.010089101287283029
ry_median,0.010004524682642646
ax_min,0.009849907333671006
ax_rms,0.009795863622359286
acc_mag_peak_prominence_mean,0.009369721965246576
ax_max,0.009290778762216996
ax_mean,0.009205724579071326
rz_rms,0.009165152364552957
acc_mag_num_peaks,0.008890181132108871
ry_mean,0.008433073638293943
ry_min,0.008340730366896684
acc_mag_max,0.008124900484406858
high_jerk_intensity,0.008012025369681423
rx_range,0.007699594540235579
ry_rms,0.007677666196752452
az_range,0.006805073316224764
rx_max,0.006745867111357133
ry_range,0.006264650199233212
jerk_ay_max,0.006114813513173379
rx_min,0.006105138000956353
ax_range,0.006017913022786215
rx_median,0.0056260823126643685
rz_range,0.005566523018891519
rx_std,0.0055253247512216976
ay_num_peaks,0.005507427327584756
rx_mean,0.005097152932241321
rx_rms,0.005034117478526379
jerk_ax_max,0.005004965568174525
acc_mag_spectral_entropy,0.004651915572993749
rz_iqr,0.0044607161291241575
ax_mad,0.0043716408818752495
rz_std,0.00430518797941813
ax_kurtosis,0.004257539708587974
acc_mag_range,0.00423716900310201
jerk_ay_mean,0.004136103285617375
az_std,0.003929589440063748
gyro_mag_range,0.003789007182925694
rx_mad,0.003715781123914379
acc_mag_std,0.0036849838039190452
rz_mad,0.0036839122409643176
ay_range,0.0036225454421695367
ry_kurtosis,0.00360624454688168
rx_iqr,0.003140938139136124
ry_std,0.0030768761887516143
gyro_mag_mad,0.0030509921839801447
ry_mad,0.003049235067535209
gyro_mag_std,0.003040268490841394
az_skewness,0.0029355356648352736
gyro_mag_iqr,0.0028995352509589454
ax_skewness,0.002893018739490607
acc_mag_iqr,0.0028902077244728967
az_mad,0.00282102942650438
acc_mag_mad,0.002808892272354562
ry_iqr,0.002766154561462486
ay_std,0.002751994187101154
ay_mad,0.0027368122065080883
gyro_mag_kurtosis,0.002694419912706538
acc_mag_skewness,0.0026645830833925393
az_iqr,0.0026280648708667596
rx_kurtosis,0.002525475497010337
ry_skewness,0.002511238702326999
rz_skewness,0.002508992400481745
az_kurtosis,0.0024459205723468495
acc_mag_kurtosis,0.0024179058420127136
ay_iqr,0.0023735133739987754
rx_skewness,0.0023482932814293095
gyro_mag_skewness,0.002346390379104575
rz_kurtosis,0.0021614169884765647
ay_kurtosis,0.0018905419001692167
ay_skewness,0.0016780867941989148
acc_mag_dominant_freq,0.0
